代碼: 700198, 名稱: 智冠統一5C購01, 市場: 上櫃
代碼: 700199, 名稱: 華景電統一61購01, 市場: 上櫃
代碼: 700200, 名稱: 萬潤統一58購04, 市場: 上櫃
代碼: 700201, 名稱: 萬潤統一6A購01, 市場: 上櫃
代碼: 700202, 名稱: 鈺太統一5A購01, 市場: 上櫃
代碼: 700203, 名稱: 聰泰統一5A購01, 市場: 上櫃
代碼: 700204, 名稱: 雙鴻統一5A購01, 市場: 上櫃
代碼: 700205, 名稱: 雙鴻統一61購01, 市場: 上櫃
代碼: 700206, 名稱: 雙鴻統一61購02, 市場: 上櫃
代碼: 700207, 名稱: 雙鴻統一6A購01, 市場: 上櫃
代碼: 700208, 名稱: 騰雲統一6A購01, 市場: 上櫃
代碼: 700209, 名稱: 宜鼎康和54購01, 市場: 上櫃
代碼: 700210, 名稱: 中光電凱基54購09, 市場: 上櫃
代碼: 700211, 名稱: 尼克森凱基54購01, 市場: 上櫃
代碼: 700212, 名稱: 伯特光凱基55購01, 市場: 上櫃
代碼: 700213, 名稱: 金山電凱基54購01, 市場: 上櫃
代碼: 700214, 名稱: 信昌電凱基54購01, 市場: 上櫃
代碼: 700215, 名稱: 宣德凱基54購01, 市場: 上櫃
代碼: 700216, 名稱: 竑騰凱基54購01, 市場: 上櫃
代碼: 700217, 名稱: 竑騰凱基54購02, 市場: 上櫃
代碼: 700218, 名稱: 新鉅科凱基54購01, 市場: 上櫃
代碼: 700219, 名稱: 新鼎凱基54購01, 市場: 上櫃
代碼: 700220, 名稱: 雷科凱基54購01, 市場: 上櫃
代碼: 700221, 名稱: 撼訊凱基54購01, 市場: 上櫃
代碼: 700222, 名稱: 撼訊凱基54購02, 市場: 上櫃
代碼: 700223, 名稱: 雙鴻凱基54購07, 市場: 上櫃
代碼: 700224, 名稱: 鏵友益凱基54購01, 市場: 上櫃
代碼: 700225, 名稱: 鑫聯凱基54購01, 市場: 上櫃
代碼: 700226, 名稱: 中光電元大54購14, 市場: 上櫃
代碼: 700227, 名稱: 中光電元大57購03, 市場: 上櫃
代碼: 700228, 名稱: 系微元大59購02, 市場: 上櫃
代碼: 700229, 名稱: 宜鼎元大57購01, 市場: 上櫃
代碼: 700230, 名稱: 旺矽元大56購01, 市場: 上櫃
代碼: 700231, 名稱: 旺矽元大5A購01, 市場: 上櫃
代碼: 700232, 名稱: 昇達科元大57購03, 市場: 上櫃
代碼: 700233, 名稱: 欣銓元大54購03, 市場: 上櫃
代碼: 700234, 名稱: 信昌電元大54購01, 市場: 上櫃
代碼: 700235, 名稱: 信昌電元大54購02, 市場: 上櫃
代碼: 700236, 名稱: 信昌電元大54購03, 市場: 上櫃
代碼: 700237, 名稱: 信昌電元大54購04, 市場: 上櫃
代碼: 700238, 名稱: 信昌電元大54購05, 市場: 上櫃
代碼: 700239, 名稱: 原相元大54購03, 市場: 上櫃
代碼: 700240, 名稱: 原相元大54購04, 市場: 上櫃
代碼: 700241, 名稱: 鈊象元大54購08, 市場: 上櫃
代碼: 700242, 名稱: 鈊象元大54購09, 市場: 上櫃
代碼: 700243, 名稱: 萬潤元大59購01, 市場: 上櫃
代碼: 700244, 名稱: 聖暉*元大54購10, 市場: 上櫃
代碼: 700245, 名稱: 雍智元大55購02, 市場: 上櫃
代碼: 700246, 名稱: 雙鴻元大54購19, 市場: 上櫃
代碼: 700247, 名稱: 原相兆豐56購01, 市場: 上櫃
代碼: 700248, 名稱: 撼訊國泰55購01, 市場: 上櫃
代碼: 700249, 名稱: M31富邦56購01, 市場: 上櫃
代碼: 700250, 名稱: 中光電富邦57購01, 市場: 上櫃
代碼: 700251, 名稱: 弘塑富邦55購02, 市場: 上櫃
代碼: 700252, 名稱: 良維富邦56購01, 市場: 上櫃
代碼: 700253, 名稱: 旺矽富邦57購01, 市場: 上櫃
代碼: 700254, 名稱: 鈊象富邦56購02, 市場: 上櫃
代碼: 700255, 名稱: 萬潤富邦56購01, 市場: 上櫃
代碼: 700256, 名稱: 雙鴻富邦56購03, 市場: 上櫃
代碼: 700257, 名稱: 大世科統一6A購01, 市場: 上櫃
代碼: 700258, 名稱: 大綜統一6A購01, 市場: 上櫃
代碼: 700259, 名稱: 光焱統一5A購02, 市場: 上櫃
代碼: 700260, 名稱: 同致統一5A購01, 市場: 上櫃
代碼: 700261, 名稱: 宜鼎統一6A購01, 市場: 上櫃
代碼: 700262, 名稱: 尚凡*統一6A購01, 市場: 上櫃
代碼: 700263, 名稱: 旺矽統一6A購01, 市場: 上櫃
代碼: 700264, 名稱: 長聖統一6A購01, 市場: 上櫃
代碼: 700265, 名稱: 信昌電統一58購01, 市場: 上櫃
代碼: 700266, 名稱: 信昌電統一58購02, 市場: 上櫃
代碼: 700267, 名稱: 建榮統一6A購01, 市場: 上櫃
代碼: 700268, 名稱: 昱展統一58購06, 市場: 上櫃
代碼: 700269, 名稱: 昱展統一6A購01, 市場: 上櫃
代碼: 700270, 名稱: 創惟統一5A購01, 市場: 上櫃
代碼: 700271, 名稱: 新鉅科統一6A購01, 市場: 上櫃
代碼: 700272, 名稱: 聖暉*統一59購01, 市場: 上櫃
代碼: 700273, 名稱: 優群統一6A購01, 市場: 上櫃
代碼: 700274, 名稱: 鴻呈統一5A購01, 市場: 上櫃
代碼: 700275, 名稱: 雙鴻統一6A購02, 市場: 上櫃
代碼: 700276, 名稱: 鏵友益統一6A購01, 市場: 上櫃
代碼: 700277, 名稱: 鑫聯統一5A購01, 市場: 上櫃
代碼: 700278, 名稱: 大田國票55購01, 市場: 上櫃
代碼: 700279, 名稱: 良維國票5C購01, 市場: 上櫃
代碼: 700280, 名稱: 信昌電國票54購02, 市場: 上櫃
代碼: 700281, 名稱: 信昌電國票55購01, 市場: 上櫃
代碼: 700282, 名稱: 信昌電國票56購02, 市場: 上櫃
代碼: 700283, 名稱: 信昌電國票57購01, 市場: 上櫃
代碼: 700284, 名稱: 信音國票55購01, 市場: 上櫃
代碼: 700285, 名稱: 宣德國票55購01, 市場: 上櫃
代碼: 700286, 名稱: 昱展國票55購01, 市場: 上櫃
代碼: 700287, 名稱: 竑騰國票55購01, 市場: 上櫃
代碼: 700288, 名稱: 泰金國票55購01, 市場: 上櫃
代碼: 700289, 名稱: 凱崴國票55購01, 市場: 上櫃
代碼: 700290, 名稱: 華電網國票55購01, 市場: 上櫃
代碼: 700291, 名稱: 新鉅科國票55購01, 市場: 上櫃
代碼: 700292, 名稱: 鑫聯國票55購01, 市場: 上櫃
代碼: 700293, 名稱: 光焱元富54購01, 市場: 上櫃
代碼: 700294, 名稱: 同致元富54購01, 市場: 上櫃
代碼: 700295, 名稱: 金山電元富54購02, 市場: 上櫃
代碼: 700296, 名稱: 金山電元富54購03, 市場: 上櫃
代碼: 700297, 名稱: 竑騰元富54購01, 市場: 上櫃
代碼: 700298, 名稱: 宏捷科中信54購01, 市場: 上櫃
代碼: 700299, 名稱: 撼訊中信54購01, 市場: 上櫃
代碼: 700300, 名稱: 雙鴻中信5A購01, 市場: 上櫃
代碼: 700301, 名稱: 尼克森永豐55購01, 市場: 上櫃
代碼: 700302, 名稱: 光焱永豐57購01, 市場: 上櫃
代碼: 700303, 名稱: 金山電永豐55購01, 市場: 上櫃
代碼: 700304, 名稱: 信昌電永豐55購01, 市場: 上櫃
代碼: 700305, 名稱: 宣德永豐55購01, 市場: 上櫃
代碼: 700306, 名稱: 皇田永豐56購01, 市場: 上櫃
代碼: 700307, 名稱: 竑騰永豐55購01, 市場: 上櫃
代碼: 700308, 名稱: 新鼎永豐55購01, 市場: 上櫃
代碼: 700309, 名稱: 撼訊永豐55購01, 市場: 上櫃
代碼: 700310, 名稱: 中光電群益58購01, 市場: 上櫃
代碼: 700311, 名稱: 立敦群益54購01, 市場: 上櫃
代碼: 700312, 名稱: 同亨群益54購01, 市場: 上櫃
代碼: 700313, 名稱: 同亨群益55購01, 市場: 上櫃
代碼: 700314, 名稱: 合晶群益54購04, 市場: 上櫃
代碼: 700315, 名稱: 東捷群益54購01, 市場: 上櫃
代碼: 700316, 名稱: 信昌電群益54購01, 市場: 上櫃
代碼: 700317, 名稱: 信昌電群益55購01, 市場: 上櫃
代碼: 700318, 名稱: 神盾群益54購02, 市場: 上櫃
代碼: 700319, 名稱: 凱崴群益54購01, 市場: 上櫃
代碼: 700320, 名稱: 凱崴群益54購02, 市場: 上櫃
代碼: 700321, 名稱: 凱崴群益55購01, 市場: 上櫃
代碼: 700322, 名稱: 新鉅科群益54購01, 市場: 上櫃
代碼: 700323, 名稱: 萬潤群益54購02, 市場: 上櫃
代碼: 700324, 名稱: 鈺太群益54購01, 市場: 上櫃
代碼: 700325, 名稱: 德微群益54購01, 市場: 上櫃
代碼: 700326, 名稱: 撼訊群益54購01, 市場: 上櫃
代碼: 700327, 名稱: 聰泰群益54購01, 市場: 上櫃
代碼: 700328, 名稱: 中光電凱基54購10, 市場: 上櫃
代碼: 700329, 名稱: 弘塑凱基56購03, 市場: 上櫃
代碼: 700330, 名稱: 旺矽凱基5A購01, 市場: 上櫃
代碼: 700331, 名稱: 昱展凱基55購01, 市場: 上櫃
代碼: 700332, 名稱: 茂達凱基55購01, 市場: 上櫃
代碼: 700333, 名稱: 原相凱基55購01, 市場: 上櫃
代碼: 700334, 名稱: 鈊象凱基54購06, 市場: 上櫃
代碼: 700335, 名稱: 撼訊凱基54購03, 市場: 上櫃
代碼: 700336, 名稱: 信立國票54購01, 市場: 上櫃
代碼: 700337, 名稱: 國眾國票55購01, 市場: 上櫃
代碼: 700338, 名稱: 信驊國泰55購01, 市場: 上櫃
代碼: 700339, 名稱: 建榮國泰55購02, 市場: 上櫃
代碼: 700340, 名稱: 茂達國泰55購01, 市場: 上櫃
代碼: 700341, 名稱: 原相富邦54購02, 市場: 上櫃
代碼: 700342, 名稱: 大世科統一6A購02, 市場: 上櫃
代碼: 700343, 名稱: 中光電統一6A購02, 市場: 上櫃
代碼: 700344, 名稱: 尼克森統一5A購01, 市場: 上櫃
代碼: 700345, 名稱: 立碁統一6A購01, 市場: 上櫃
代碼: 700346, 名稱: 良維統一6A購01, 市場: 上櫃
代碼: 700347, 名稱: 尚凡*統一5A購01, 市場: 上櫃
代碼: 700348, 名稱: 昱展統一6A購02, 市場: 上櫃
代碼: 700349, 名稱: 茂達統一56購03, 市場: 上櫃
代碼: 700350, 名稱: 茂達統一61購01, 市場: 上櫃
代碼: 700351, 名稱: 竑騰統一5A購01, 市場: 上櫃
代碼: 700352, 名稱: 新鉅科統一5A購01, 市場: 上櫃
代碼: 700353, 名稱: 新鉅科統一6A購02, 市場: 上櫃
代碼: 700354, 名稱: 聖暉*統一6A購01, 市場: 上櫃
代碼: 700355, 名稱: 撼訊統一6A購01, 市場: 上櫃
代碼: 700356, 名稱: 擎亞統一6A購01, 市場: 上櫃
代碼: 700357, 名稱: 聰泰統一6A購01, 市場: 上櫃
代碼: 700358, 名稱: 寶島科統一64購01, 市場: 上櫃
代碼: 700359, 名稱: 鏵友益統一5A購01, 市場: 上櫃
